date,locale,title,teaser,full_text,theme_tag
2035-01-01,tr,Yıl Başında Release Kimliğini Sabitle,Yeni yıl ilk buildin izlenebilirliğini değiştirmemelidir.,İlk 2035 buildinde version code commit SHA ve artifact hash üçlüsünün aynı release kaydında tutulduğunu doğrula.,release
2035-01-02,tr,Offline Açılışta Saat Kaynağını Kontrol Et,Ağ yokken güvenilir yerel zaman davranışı açık olmalıdır.,Uçak modunda uygulamayı aç ve günün snapshotının yalnız izin verilen yerel saat kaynağıyla üretildiğini doğrula.,offline
2035-01-03,tr,PDF İçinde Kayıp Unicode Glifi Yakala,Font fallback sessiz kare karakterlere dönüşmemelidir.,Türkçe ve özel semboller içeren bir rapor üret ve render sonrası beklenen tüm gliflerin görünür kaldığını doğrula.,pdf
2035-01-04,tr,Backup Restoreda Şema Sürümünü Önce Oku,Uyumsuz paket doğrudan veri tablolarına uygulanmamalıdır.,Eski şema sürümlü bir backup ver ve migration uygunluğu belirlenmeden hiçbir tablo yazılmadığını doğrula.,backup
2035-01-05,tr,Natal Snapshotta Koordinat Hassasiyetini Koru,Yuvarlama tekrar hesaplamada küçük ama açıklanamaz farklar üretebilir.,Kaydedilen doğum koordinatını yeniden yükle ve hesap girdisinin contracted precision ile korunduğunu doğrula.,astrology
2035-01-06,tr,Free Karttan PRO Routeuna Tek Yol Kullan,Aynı yükseltme aksiyonu farklı ekranlarda farklı hedefe gitmemelidir.,İki ayrı Free kilitli karttan yükseltmeye dokun ve ikisinin de aynı entitlement route sözleşmesini kullandığını doğrula.,entitlement
2035-01-07,tr,Şehir Aramasında Aynı İsimleri Ayır,Tek isim birden fazla konumu temsil ettiğinde kullanıcı seçim yapabilmelidir.,Aynı ada sahip iki şehir döndür ve ülke bölge bilgisiyle disambiguation seçeneğinin göründüğünü doğrula.,location
2035-01-08,tr,Numeroloji Girdisinde Görünmez Karakteri Temizle,Zero width karakterleri isim sonucunu sessizce değiştirmemelidir.,Aynı adı görünmez Unicode karakteriyle ve karakter olmadan hesapla ve normalization politikasını doğrula.,numerology
2035-01-09,tr,Gezegen Saatinde Polar Durumu Açık Göster,Sunrise veya sunset üretilemeyen gün normal gün gibi sunulmamalıdır.,Polar koşul fixtureı çalıştır ve UI durumunun hesap uydurmak yerine açıklanabilir unavailable state verdiğini doğrula.,planetary-hours
2035-01-10,tr,Silinen Danışanı PDF Geçmişinden Ayır,Aktif kayıt silme mevcut export artifactlerini yanlışlıkla yeniden bağlamamalıdır.,Danışanı sil ve önceden üretilmiş PDF metadata referansının immutable fakat aktif profilden bağımsız kaldığını doğrula.,data
