"date","locale","title","teaser","full_text","theme_tag"
"2029-11-01","tr","Kasım'a Açık Bir Öncelik Sırasıyla Başla","Birden fazla önemli hedef olduğunda sıra belirlemek kapasiteyi korur.","Bugün Kasım için en önemli üç sonucu sıralı biçimde yaz. İkinci ve üçüncü hedefin birincinin önüne hangi koşulda geçebileceğini de belirt.","monthly_planning"
"2029-11-02","tr","Bir Süreçte Gereksiz Onayı Bul","Fazladan onay adımları güven sağlamadan gecikme yaratabilir.","Bugün tekrar eden bir süreçte hangi onayın gerçekten risk azalttığını, hangisinin yalnız alışkanlık olduğunu ayır. Gereksiz adımı kaldırmadan önce etkisini doğrula.","process"
"2029-11-03","tr","Bir Mesajda Bilgi ile Yorumu Ayır","Gerçeklerle yorumlar aynı cümlede karışınca anlaşmazlık büyüyebilir.","Bugün önemli bir mesajda bildiğin olguyu, kendi yorumunu ve istediğin eylemi ayrı cümlelerle yaz.","communication"
"2029-11-04","tr","Bir Seçeneğin Vazgeçme Maliyetini Hesapla","Bir şeye evet demek çoğu zaman başka bir şeye hayır demektir.","Bugün kabul etmeyi düşündüğün bir iş için bunun zamanından hangi mevcut önceliğin pay kaybedeceğini yaz. Kararı bu takasla birlikte değerlendir.","decision_making"
"2029-11-05","tr","İlk Saatini Reaktif İşlerden Koru","Günün başında gelen her talebe cevap vermek kendi önceliğini görünmez kılabilir.","Bugün mümkünse ilk odak saatini mesaj ve küçük taleplerden koru. Önceden seçtiğin tek önemli işi bu sürede ilerlet.","focus"
"2029-11-06","tr","Bir Satın Almanın Toplam Sahip Olma Maliyetini Düşün","Satın alma fiyatı uzun vadeli masrafın yalnız bir bölümüdür.","Bugün değerlendirdiğin bir ürün için bakım, yenileme, enerji, aksesuar ve zaman maliyetlerini de not et. Kararı yalnız etiket fiyatına göre verme.","finance"
"2029-11-07","tr","Haftada Tekrar Eden Bir Deseni Bul","Tek olaydan çok tekrar eden desenler değişim için daha güçlü ipucu verir.","Bugün son yedi günde iki veya daha fazla kez tekrar eden bir aksaklık ya da başarı deseni seç. Ortak koşulunu yaz.","reflection"
"2029-11-08","tr","Bir Görevin Bitiş Noktasını Görünür Yap","Başlangıç belli olsa bile bitiş tanımı yoksa iş uzayabilir.","Bugün üzerinde çalıştığın bir görev için teslim edilecek nesneyi veya sonucu tek cümleyle tanımla. Fazladan iyileştirmeyi bu sınırdan sonra değerlendir.","execution"
"2029-11-09","tr","Bir İddianın Kapsamını Kontrol Et","Bir bulgu belirli bir grup veya dönem için doğru olup daha geniş alana taşınamayabilir.","Bugün kullandığın önemli bir araştırma veya istatistikte hangi grup, ülke, dönem ya da koşulun ölçüldüğünü kontrol et. Sonucu kapsamından büyük anlatma.","evidence"
"2029-11-10","tr","Bir Çatışmada İhtiyaç ile Yöntemi Ayır","Aynı ihtiyaca ulaşmak için birden fazla yöntem olabilir.","Bugün anlaşmazlık yaşadığın bir konuda iki tarafın ihtiyacını yöntemlerinden ayrı yaz. Çözümü tek bir yönteme kilitlemeden ara.","relationships"
