date,locale,title,teaser,full_text,theme_tag
"2027-01-01","tr","Yıla Tek Bir Ölçüyle Başla","Yeni başlangıçlar çok hedefle değil, neyi ölçeceğini bilmekle güçlenir.","Bugün yıl boyunca gerçekten takip etmek istediğin tek bir ölçüyü seç. Sayı, süre ya da düzen olabilir; önemli olan sana yön vermesi ve gereksiz baskı yaratmamasıdır.","monthly_baseline"
"2027-01-02","tr","İlk Haftanın Yükünü Hafiflet","Takvimin dolu olması ilerlediğin anlamına gelmez.","Bugün ilk haftadan çıkarabileceğin bir görevi seç. Yer açmak, yeni bir hedef eklemek kadar bilinçli bir karar olabilir.","prioritization"
"2027-01-03","tr","Bir Beklentiyi Yazıya Dök","Belirsiz beklentiler çoğu zaman gereksiz gerilim üretir.","Bugün senden ya da bir başkasından beklediğin tek bir şeyi açık bir cümleyle yaz. Gerçekçi olup olmadığını sonra değerlendir.","clarity"
"2027-01-04","tr","Sabahın İlk On Dakikasını Koru","Günün ilk dakikaları başkalarının talepleriyle kolayca dağılabilir.","Bugün uyandıktan sonraki ilk on dakikayı bildirimlerden uzak tut. O zamanı günün yönünü seçmek için kullan.","attention"
"2027-01-05","tr","Bir Eşyaya Kalıcı Yer Ver","Küçük dağınıklıklar tekrar eden küçük kararlar yaratır.","Bugün sık kullandığın ama sürekli yer değiştiren tek bir eşyaya sabit bir yer belirle. Düzenin işe yarayıp yaramadığını hafta boyunca gözlemle.","environment"
"2027-01-06","tr","Bedeninin Erken Sinyalini Dinle","Yorgunluk çoğu zaman tükenmeden önce küçük işaretler verir.","Bugün omuz, göz, nefes veya dikkat düzeyindeki ilk yorgunluk işaretini fark ettiğinde kısa bir ara ver. Dinlenmeyi geciktirmemeyi dene.","recovery"
"2027-01-07","tr","Bir Konuşmaya Hazırlıksız Girme","Zor konuşmaların tonu ilk cümleden etkilenebilir.","Bugün yapman gereken önemli bir konuşma varsa önce amacını ve söylemek istemediğin şeyi yaz. Sonra konuşmayı daha kısa ve açık tut.","communication"
"2027-01-08","tr","Bir Aboneliği Gerçekten Kullanıyor musun?","Küçük düzenli ödemeler görünmez hale gelebilir.","Bugün tek bir aboneliği kontrol et. Son bir ayda kullanmadıysan sürdürmek için gerçekten bir nedenin olup olmadığını değerlendir.","financial_awareness"
"2027-01-09","tr","Bir Kararı İki Seçeneğe İndir","Çok seçenek karar vermeyi kolaylaştırmak yerine zorlaştırabilir.","Bugün uzayan bir kararda seçenekleri iki gerçek adaya indir. Diğer ihtimalleri geçici olarak masadan kaldır.","decision_making"
"2027-01-10","tr","Sessiz Bir Yürüyüş Yap","Sürekli içerik tüketmek düşünmeye yer bırakmayabilir.","Bugün kısa bir yürüyüşü kulaklık ve ekran olmadan yap. Zihninin hangi konuya kendiliğinden döndüğünü fark et.","reflection"
"2027-01-11","tr","Bir Dosya Adını Düzenle","Kötü isimlendirilmiş dosyalar gelecekte gereksiz arama süresi yaratır.","Bugün önemli bir dosyanın adını tarih, konu ve sürümü anlaşılır biçimde gösterecek şekilde düzenle.","digital_order"
"2027-01-12","tr","Yarım Kalan Bir Cümleyi Tamamla","Söylenmemiş küçük şeyler bazen beklenenden fazla zihinsel yer kaplar.","Bugün ertelediğin kısa bir mesajı ya gönder ya da artık göndermemeye karar ver. Belirsizliği açık bırakma.","completion"
"2027-01-13","tr","Enerjini İş Türüyle Eşleştir","Her saat aynı tür işe uygun olmayabilir.","Bugün en dikkatli olduğun zamanı zor bir işe, daha düşük enerjili zamanı ise basit işlere ayırmayı dene.","energy_management"
"2027-01-14","tr","Ödünç Verdiğini Kaydet","Küçük kayıtlar gereksiz hatırlama yükünü azaltır.","Bugün bir eşya veya para ödünç verirsen kime, ne zaman ve ne koşulla verdiğini kısa bir notla kaydet.","record_keeping"
"2027-01-15","tr","Bir Öğünü Acele Etmeden Ye","Hız, doygunluk ve dikkat sinyallerini bastırabilir.","Bugün en az bir öğünde ekranı kenara bırak ve yeme hızını bilinçli olarak azalt. Sonrasında nasıl hissettiğini fark et.","wellbeing"
"2027-01-16","tr","Bitiş Ölçütünü Önceden Tanımla","Ne zaman biteceği belli olmayan işler uzamaya eğilimlidir.","Bugün başlayacağın bir görev için tamamlandı demeni sağlayacak net ölçütü önce yaz.","planning"
"2027-01-17","tr","Bir Tartışmada Son Sözü Arama","Her konuşmayı kazanmak ilişkiyi güçlendirmez.","Bugün bir fikir ayrılığında karşı tarafın son cümlesini düzeltme ihtiyacını ertele. Gerekiyorsa yalnız kendi sınırını netleştir.","relationships"
"2027-01-18","tr","Bir Fotoğrafı Yedekle","Değerli dosyalar çoğu zaman kaybolana kadar önemsenmez.","Bugün senin için önemli tek bir fotoğraf veya belgeyi ikinci güvenli konuma yedekle ve gerçekten açılabildiğini kontrol et.","backup"
"2027-01-19","tr","Kendine Verdiğin Sözü Küçült","Çok büyük sözler başlamayı zorlaştırabilir.","Bugün ertelediğin bir alışkanlığın minimum sürümünü seç. Beş dakika, bir sayfa veya tek tekrar gibi küçük ama tamamlanabilir olsun.","habit_design"
"2027-01-20","tr","Bir Toplantının Gerekli Olup Olmadığını Sor","Her eşzamanlı konuşma toplantı gerektirmez.","Bugün planlanan bir görüşmenin kısa bir mesaj veya belgeyle çözülebilip çözülemeyeceğini değerlendir.","efficiency"
"2027-01-21","tr","Bir Şikâyeti Talebe Çevir","Sorunu anlatmak ile ne istediğini söylemek aynı şey değildir.","Bugün seni rahatsız eden bir konuda yalnız şikâyeti değil, karşı taraftan beklediğin somut davranışı da tanımla.","communication"
"2027-01-22","tr","Kış Gününde Işığı Kullan","Gün ışığı azaldığında beden ritmi kolayca bulanıklaşabilir.","Bugün mümkünse gündüz saatlerinde kısa süre doğal ışığa çık. Akşam aydınlatmasını da gereksiz yere sert tutma.","wellbeing"
"2027-01-23","tr","Bir Hesabın Kurtarma Bilgisini Kontrol Et","Güvenlik yalnız güçlü şifreyle bitmez.","Bugün önemli bir hesabın kurtarma e-postası, telefon bilgisi ve iki aşamalı doğrulamasını kontrol et.","security"
"2027-01-24","tr","Bir Masrafı Kategoriye Ayır","Harcamayı görmek yalnız toplamı bilmekten daha öğreticidir.","Bugün yaptığın bir masrafı zorunlu, esnek veya ertelenebilir olarak sınıflandır. Ay sonunda hangi grubun büyüdüğünü izle.","financial_awareness"
"2027-01-25","tr","Bir İyiliği Karşılık Beklemeden Yap","Küçük destekler görünür sonuç üretmese de ilişki iklimini değiştirebilir.","Bugün birine kısa ve gerçek bir kolaylık sağla. Bunu borç ya da beklenti listesine ekleme.","kindness"
"2027-01-26","tr","Bir Uyarıyı Kapatmadan Önce Oku","Sürekli çıkan bildirimlere alışmak gerçek uyarıları görünmez kılabilir.","Bugün cihazında veya uygulamada çıkan bir uyarıyı otomatik kapatmadan önce ne istediğini gerçekten oku.","digital_safety"
"2027-01-27","tr","Gece İçin Kapanış Saati Belirle","Günün bitişi tanımlanmadığında işler geceye sızabilir.","Bugün çalışmayı veya yoğun zihinsel işi bırakacağın yaklaşık bir saat seç ve o saate yaklaşırken yeni iş başlatma.","boundaries"
"2027-01-28","tr","Bir Eski Notu Karara Bağla","Dijital birikim de fiziksel dağınıklık gibi karar yükü yaratır.","Bugün eski notlarından birini aç. Hâlâ işe yarıyorsa düzenle, değilse güvenle sil.","digital_order"
"2027-01-29","tr","Bir Başarıyı Küçültmeden Kaydet","Tamamlanan şeyleri hızla unutmak ilerleme algısını zayıflatabilir.","Bugün son bir haftada tamamladığın tek bir şeyi kaydet. Büyük olması gerekmiyor; gerçekten bitmiş olması yeterli.","reflection"
"2027-01-30","tr","Ay Sonunu Veriyle Kapat","Hafıza ay boyunca olanları seçerek hatırlar.","Bugün Ocak için yalnız üç veri noktası çıkar: neyi tamamladın, neyi erteledin ve en çok ne enerji aldı.","review"
"2027-01-31","tr","Şubat İçin Tek Bir Deney Seç","Yeni ayı bir hedef listesi yerine küçük bir deneyle başlatmak daha öğretici olabilir.","Şubat boyunca denemek istediğin tek bir davranışı seç ve başarıyı nasıl anlayacağını bir cümleyle tanımla.","monthly_transition"
