"date","locale","title","teaser","full_text","theme_tag"
"2029-07-01","tr","Temmuz'a Kullanılabilir Kapasiteyle Başla","Takvimde boş görünen zamanın tamamı gerçek çalışma kapasitesi olmayabilir.","Bugün Temmuz için ayırabileceğin gerçek odak saatlerini kabaca hesapla. Planını ideal bir aya göre değil, gerçekten sahip olduğun kapasiteye göre kur.","monthly_planning"
"2029-07-02","tr","Bir Kararın Geri Dönüş Maliyetini Yaz","Bazı seçimler kolayca değiştirilebilirken bazıları zaman, para veya ilişki maliyeti taşır.","Bugün vereceğin önemli bir karar için fikrini değiştirmek zorunda kalırsan ne kaybedeceğini yaz. Geri dönüş pahalıysa doğrulama adımını artır.","decision_making"
"2029-07-03","tr","Bir İşin Bittiğini Tanımla","Bitiş ölçütü olmayan görevler sürekli biraz daha geliştirilebilir.","Bugün üzerinde çalıştığın bir iş için tamamlandı sayılacağı üç koşulu yaz. Bu koşullar sağlandığında yeni iyileştirmeleri ayrı bir sürüme bırak.","execution"
"2029-07-04","tr","Varsayımı Veriden Ayır","Bir şeyi sık duymak onun ölçülmüş olduğu anlamına gelmez.","Bugün kararını etkileyen bir cümleyi seç ve bunun gözlem, tahmin veya doğrulanmış veri olup olmadığını işaretle. Eksik olanı gerçek gibi kullanma.","evidence"
"2029-07-05","tr","Bir Harcamanın Alternatifini Gör","Bir şeye verilen para aynı anda başka bir seçeneğe verilemeyen kaynaktır.","Bugün isteğe bağlı bir harcamayı seç ve aynı tutarın başka hangi ihtiyacı karşılayabileceğini yaz. Kararı yalnız fiyatla değil fırsat maliyetiyle değerlendir.","finance"
"2029-07-06","tr","Dinlenmenin Sonunu da Planla","Plansız mola bazen toparlanma yerine günün geri kalanını belirsizleştirebilir.","Bugün bir dinlenme aralığına başlamadan önce yaklaşık bitiş saatini belirle. Süre dolunca enerjin yetiyorsa tek bir küçük işle yeniden başla.","wellbeing"
"2029-07-07","tr","Bir Haftayı Açık Döngülerden Arındır","Zihinde taşınan küçük işler odak kapasitesini gereğinden fazla tüketebilir.","Bugün beş dakikadan kısa sürecek iki açık işi tamamla veya bilinçli olarak sil. Belirsiz kalanları tek bir listeye taşı.","organization"
"2029-07-08","tr","Bir Mesajda Beklentiyi Açık Yaz","Nazik ama belirsiz istekler karşı tarafta farklı yorumlara yol açabilir.","Bugün önemli bir mesaj gönderirken ne istediğini, ne zamana kadar gerektiğini ve cevap bekleyip beklemediğini açıkça belirt.","communication"
"2029-07-09","tr","Yeni Bir Bilgiyi Eski İnancına Uydurma","İnsan zihni çelişen veriyi fark etmeden eski fikre göre yorumlayabilir.","Bugün seni şaşırtan bir bilgide önce 'Bu neyi değiştirebilir?' diye sor. Hemen eski görüşünü savunmak yerine etkisini ayrı değerlendir.","learning"
"2029-07-10","tr","Bir Sürecin En Yavaş Noktasını Bul","Toplam hızı çoğu zaman en çok çalışan adım değil en yavaş geçiş belirler.","Bugün tekrarlanan bir işte en çok bekleme oluşturan adımı işaretle. Tüm süreci hızlandırmak yerine önce o dar boğazı iyileştir.","reliability"
"2029-07-11","tr","Bir Sınırı İstisnasıyla Birlikte Belirle","Katı veya belirsiz sınırlar gerçek hayatta kolayca bozulabilir.","Bugün önemli bir kişisel sınır için hangi durumda istisna yapabileceğini de yaz. Böylece karar anında suçlulukla değil önceden belirlenmiş ölçütle hareket et.","boundaries"
"2029-07-12","tr","Bir Risk İçin Önce Olasılığı Değil Etkiyi Sor","Nadir bir olay bile sonucu çok ağırsa ayrıca düşünülmeyi hak edebilir.","Bugün bir planın risklerini gözden geçirirken olasılık ve etkiyi ayrı puanla. Düşük olasılıklı ama yüksek etkili olanlara özel önlem gerekip gerekmediğine bak.","risk_management"
"2029-07-13","tr","Odak Süresini Kesintiden Sonra Ölç","Bir kesintinin maliyeti yalnız kaybedilen dakika değildir; yeniden başlama süresi de vardır.","Bugün bir çalışma bloğunda kesinti olduğunda ne kadar sürede yeniden aynı işe döndüğünü not et. Bildirim ve görüşme düzenini bu gerçek maliyete göre ayarla.","focus"
"2029-07-14","tr","Yardım İsterken Sorunu Küçült","Çok geniş yardım talepleri karşı tarafın nereden başlayacağını belirsizleştirebilir.","Bugün yardım isteyeceğin bir konuda tüm problemi anlatmak yerine takıldığın tek kararı veya tek adımı açıkça tarif et.","collaboration"
"2029-07-15","tr","Ay Ortasında Planı Yeniden Pazarlık Et","Ay başındaki plan koşullar değişse bile dokunulmaz kalmak zorunda değildir.","Bugün Temmuz planında artık gerçekçi olmayan bir hedefi küçült, ertele veya bırak. Boşalan kapasiteyi gerçekten önemli olan işe aktar.","reflection"
