date,locale,title,teaser,full_text,theme_tag
2036-03-01,tr,Mart Kataloğunu Contiguous Başlat,Yeni ay önceki shardın ertesi günüyle başlamalıdır.,Şubatın son canonical günü 2036-02-29 ile Martın ilk günü 2036-03-01 arasında boşluk olmadığını TR ve EN shard tarih dizilerinde doğrula.,content
2036-03-02,tr,DST Geçişinde Yerel Saati Açıkça Çöz,Saat ileri alma günü belirsiz instant üretmemelidir.,DST başlangıcına denk gelen iki yerel saat fixtureını timezone veritabanıyla çöz ve nonexistent veya shifted zaman politikasının deterministic uygulandığını doğrula.,timezone
2036-03-03,tr,DST Fold Anını İki Instant Olarak Ayır,Tekrarlanan yerel saat sessizce tek zamana indirgenmemelidir.,Saat geri alma günündeki aynı duvar saati için iki offset fixtureı çalıştır ve canonical instantların ayrı kaldığını doğrula.,timezone
2036-03-04,tr,Julian Day Dönüşümünü Tersine Test Et,Tarih dönüşümü round tripte gün kaydırmamalıdır.,Desteklenen aralıktan sınır ve orta tarih fixturelarını Julian Day değerine çevirip geri dönüştür ve civil date ile zaman bileşenlerinin tolerans içinde korunduğunu doğrula.,astronomy
2036-03-05,tr,Ev Sistemi Seçimini Hesap Anahtarına Kat,Farklı house system sonuçları aynı cache anahtarını paylaşmamalıdır.,Aynı doğum verisini Placidus ve Whole Sign ile hesapla ve cache identity ile sonuç metadata alanlarının house system seçimini taşıdığını doğrula.,astrology
2036-03-06,tr,Retrograde Flag Hesabını Hız İşaretiyle Doğrula,Gezegen yönü etiket metninden türetilmemelidir.,Pozitif negatif ve sıfıra yakın longitude speed fixturelarını çalıştır ve retrograde sınıflandırmasının canonical hız işareti politikasını izlediğini doğrula.,astrology
2036-03-07,tr,Açı Normalizasyonunu 360 Sınırında Koru,359 ile 1 derece arasındaki fark 358 olarak yorumlanmamalıdır.,0 derece sınırının iki yanındaki longitude fixturelarını aspect motoruna gönder ve minimum circular separation hesabının doğru olduğunu doğrula.,astrology
2036-03-08,tr,Orb Politikasını Aspect Türüne Göre Uygula,Her açı için tek sabit orb kullanmak sözleşmeyi zayıflatır.,Conjunction square trine opposition ve sextile sınır fixturelarını çalıştır ve her major aspect için tanımlı orb eşiğinin bağımsız uygulandığını doğrula.,astrology
2036-03-09,tr,Numeroloji Girdisinde Unicode Normalizasyonu Yap,Aynı görünen isim farklı kod noktalarıyla farklı sonuç vermemelidir.,Birleşik ve ayrık aksan kodlamasına sahip eş isimleri hesapla ve normalization sonrası aynı canonical harf dizisinin kullanıldığını doğrula.,numerology
2036-03-10,tr,İsim Analizinde Locale Harf Politikasını Sabitle,Türkçe I ve İ dönüşümü genel İngilizce lowercasinge bırakılamaz.,I İ ı i içeren TR ve EN fixturelarını çalıştır ve locale-aware normalization politikasının belgelenmiş eşlemeyi kullandığını doğrula.,numerology
