date,title,teaser,message,theme
2031-10-01,Ekim İçin Bir Vazgeçme Listesi Yaz,Yeni hedefler kadar bilinçli olarak bırakılan işler de alan açar.,Bu ay sürdürmeyeceğin bir görev alışkanlık ya da beklentiyi seç ve neden bıraktığını tek cümleyle yaz.,öncelik
2031-10-02,Bir Kararın Geri Dönüş Yolunu Belirle,Bazı seçimler küçük bir çıkış planıyla daha güvenli hale gelir.,Bugün deneyeceğin bir karar için işler beklendiği gibi gitmezse hangi noktada geri döneceğini önceden belirle.,karar
2031-10-03,Bir Dosya Adını Gelecekteki Kendin İçin Yaz,Belirsiz dosya adları zaman geçince anlamını hızla kaybedebilir.,Bugün oluşturduğun önemli bir dosyaya konu tarih ve sürüm bilgisini anlayacağın açık bir ad ver.,organizasyon
2031-10-04,Bir Konuşmada Sessizliği Doldurmak İçin Acele Etme,Kısa sessizlikler düşünmeye alan verebilir.,Bugün önemli bir konuşmada cevap vermeden önce birkaç saniye bekle ve ilk tepki yerine düşündüğün cevabı seç.,iletişim
2031-10-05,Bir Alışverişte Erteleme Süresi Koy,İstek ile ihtiyaç arasındaki fark biraz zaman geçince daha görünür olabilir.,Planlanmamış bir alışveriş için bugün kendine en az birkaç saatlik bekleme süresi koy ve sonra yeniden değerlendir.,finans
2031-10-06,Bir Görevin Bitti Tanımını Yaz,Belirsiz bitiş çizgisi işleri gereksiz yere uzatabilir.,Bugün üzerinde çalıştığın bir iş için tamamlandı sayılacağı üç somut koşulu yaz.,üretkenlik
2031-10-07,Bir Şifrenin Tekrar Kullanılıp Kullanılmadığını Kontrol Et,Aynı parolayı farklı yerlerde kullanmak tek bir ihlalin etkisini büyütebilir.,Bugün önemli bir hesabın parolasının başka yerde de kullanılıp kullanılmadığını kontrol et ve gerekiyorsa değiştir.,güvenlik
2031-10-08,Bir Beklentiyi Sözlü Hale Getir,Söylenmemiş beklentiler iki tarafın farklı kurallar izlediği hissini yaratabilir.,Bugün bir ilişkide ya da işte önemli bir beklentiyi açık ve ölçülü biçimde ifade et.,ilişkiler
2031-10-09,Bir Planın En Zayıf Varsayımını Bul,Planlar çoğu zaman görünmeyen tek bir kabule fazla bağımlı olabilir.,Bugün yürüttüğün bir planın doğru çıkmasına en çok ihtiyaç duyduğu varsayımı yaz ve kontrol edilebilir mi bak.,planlama
2031-10-10,Bir Dijital Bildirimi Gereksizse Kapat,Her uyarı aynı öneme sahip değildir.,Bugün dikkatini sık bölen bir uygulamanın yalnız gereksiz bildirim türünü kapat ve önemli uyarıları koru.,odak
2031-10-11,Bir İşi Başkasına Devretmeden Önce Sonucu Tarif Et,Görev devri yalnız işi söylemekle değil beklenen sonucu netleştirmekle kolaylaşır.,Bugün devrettiğin bir işte ne yapılacağını değil başarılı sonucun nasıl görüneceğini de açıkla.,işbirliği
2031-10-12,Bir Dinlenme Saatini Takvime Gerçek İş Gibi Yaz,Boş kalan zaman kendiliğinden dinlenmeye dönüşmeyebilir.,Bu hafta için kısa bir dinlenme aralığını takvime yerleştir ve o süreyi başka işle doldurmamaya çalış.,özbakım
2031-10-13,Bir Notun Kaynağını Ekle,Kaynağı unutulan bilgi zamanla güvenilirliğini kaybedebilir.,Bugün sakladığın önemli bir bilgiye nereden geldiğini gösteren kısa bir kaynak notu ekle.,doğruluk
2031-10-14,Bir Sürecin Bekleme Noktasını Ölç,Bazen asıl gecikme çalışmada değil bir sonraki adımı beklemekte oluşur.,Tekrarlanan bir işte en uzun bekleme noktasını belirle ve onu azaltmanın mümkün olup olmadığını incele.,verimlilik
2031-10-15,Ay Ortasında Bir Hedefi Küçültmekten Çekinme,Koşullar değiştiğinde hedefi ayarlamak vazgeçmek anlamına gelmez.,Ekim hedeflerinden birini mevcut zaman ve enerjiye göre daha gerçekçi bir boyuta getirmenin gerekip gerekmediğini kontrol et.,hedef
2031-10-16,Bir Eleştiride Gözlem ile Yorumu Ayır,Somut davranış ile onun hakkında vardığın sonuç aynı şey değildir.,Bugün bir geri bildirim verirken önce gördüğün davranışı sonra bunun etkisini ayrı cümlelerle ifade et.,iletişim
2031-10-17,Bir Günlük Tekrarlayan Masrafı Aylığa Çevir,Küçük düzenli tutarlar aylık toplamda farklı görünebilir.,Bugün sık yaptığın küçük bir harcamanın yaklaşık aylık toplamını hesapla ve hâlâ değerli bulup bulmadığını değerlendir.,finans
2031-10-18,Bir Başlangıç Törenini Basitleştir,Bir işe başlamak için fazla hazırlık gerekiyorsa başlama eşiği yükselir.,Bugün sık ertelediğin bir faaliyet için gereken hazırlık adımlarından birini ortadan kaldır.,alışkanlık
2031-10-19,Bir Cihazın Güncelleme Durumunu Kontrol Et,Güvenlik yamaları yalnız yeni özelliklerden ibaret değildir.,Telefon bilgisayar ya da yönlendiricilerinden birinin güncelleme durumunu kontrol et ve güvenilir kaynaktan bekleyen güncelleme varsa planla.,güvenlik
2031-10-20,Bir Kararı Sonuç Yerine Süreçle Değerlendir,İyi kararlar bazen kötü sonuçlara kötü kararlar bazen iyi sonuçlara yol açabilir.,Yakın zamanda verdiğin bir kararı yalnız sonucuna değil o sırada kullandığın bilgi ve düşünme sürecine göre değerlendir.,yansıma
2031-10-21,Bir Yardım Talebini Somutlaştır,Belirsiz yardım istekleri karşı tarafın ne yapacağını anlamasını zorlaştırabilir.,Bugün destek istediğin bir konuda kişiden beklediğin tek somut katkıyı açıkça söyle.,iletişim
2031-10-22,Bir İş İçin Enerji Saatini Seç,Her görevin aynı saatte yapılması gerekmez.,Bugün yüksek dikkat isteyen bir işi gün içinde kendini en berrak hissettiğin zaman aralığına taşı.,enerji
2031-10-23,Bir Eski Taahhüdün Hâlâ Geçerli Olup Olmadığını Sor,Geçmişte mantıklı olan bir söz bugün aynı değeri taşımayabilir.,Uzun süredir sürdürdüğün bir taahhüdü seç ve mevcut koşullarda hâlâ bilinçli olarak seçip seçmediğini değerlendir.,öncelik
2031-10-24,Bir Belgenin Kurtarma Kopyasını Açmayı Dene,Yedek varlığı ancak gerektiğinde okunabiliyorsa işe yarar.,Bugün önemli bir yedeğin küçük bir örneğini güvenli şekilde açmayı dene ve gerçekten erişilebilir olduğunu doğrula.,güvenlik
2031-10-25,Bir Sorunu Çözmeden Önce Kapsamını Daralt,Çok geniş tanımlanan sorunlar çözümsüz görünebilir.,Bugün uğraştığın bir sorunu tek kişi tek süreç ya da tek zaman aralığıyla sınırlandırarak yeniden tarif et.,problem çözme
2031-10-26,Bir Sosyal Plan İçin Çıkış Saatini Baştan Belirle,Sınırı önceden bilmek planın daha rahat sürmesini sağlayabilir.,Bugün katılacağın bir buluşmada ne kadar kalmak istediğini önceden belirle ve gerektiğinde bunu açıkça söyle.,sınırlar
2031-10-27,Bir Fikri Savunmadan Önce Karşı Kanıt Ara,Yalnız destekleyen örnekleri görmek düşünceyi gereğinden fazla kesinleştirebilir.,Bugün güçlü bulduğun bir görüş için onu zayıflatabilecek güvenilir bir veri ya da örnek ara.,doğruluk
2031-10-28,Bir Görevi Gelecekteki Adımıyla Kapat,Bir işi yarıda bırakırken dönüş noktası belirsizse yeniden başlamak zorlaşır.,Bugün tamamlayamadığın bir çalışmayı bırakmadan önce sonraki tek adımı dosya ya da not içinde açıkça yaz.,üretkenlik
2031-10-29,Bir Kişiye Yalnız Teşekkür Et,Takdir her zaman uzun açıklama gerektirmez.,Bugün katkısını fark ettiğin birine sonucu abartmadan hangi davranışı için teşekkür ettiğini açıkça söyle.,ilişkiler
2031-10-30,Ekimde İşe Yaramayan Bir Deneyi Kaydet,Başarısız denemeler de gelecekteki seçimler için veri sağlayabilir.,Bu ay denediğin ama işe yaramayan bir yöntemi seç ve neden sürdürmeyeceğini kısa bir notla kaydet.,öğrenme
2031-10-31,Ekim Kapanışında Açık Döngüleri Ayır,Her yarım iş aynı aciliyete sahip değildir.,Ay sonunda açık kalan işleri yap bitir planla devret ya da bırak seçeneklerinden biriyle sınıflandır ve belirsizliği azalt.,tamamlama
