date,title,teaser,message,theme
2032-06-01,Hazirana Bir Öncelik Seçerek Başla,Ayın yönünü birkaç net tercih belirleyebilir.,Haziran sonunda ilerlemiş görmek istediğin tek alanı yaz ve bugün ona ayrılmış ilk küçük zamanı takvime koy.,planning
2032-06-02,Bekleyen Bir Kararı Küçült,Büyük görünen kararlar çoğu zaman birkaç alt sorudan oluşur.,Ertelediğin bir kararı üç daha küçük soruya böl ve yalnız ilkini bugün cevapla.,decision
2032-06-03,Bir Dosyanın Sahibine Karar Ver,Sahipsiz bilgi zamanla güncelliğini kaybedebilir.,Sık kullanılan bir dosya için kim güncelleyecek kim kontrol edecek bilgisini açıkça yaz.,organization
2032-06-04,Harcamadan Önce Kullanım Sayısını Tahmin Et,Fiyat tek başına gerçek maliyeti anlatmaz.,Almayı düşündüğün bir şey için önümüzdeki üç ayda kaç kez kullanacağını tahmin et ve kararı buna göre yeniden değerlendir.,finance
2032-06-05,Bir Konuşmada Varsayımı Ayır,Yorum ile gözlemi ayırmak yanlış anlaşılmayı azaltabilir.,Bugün önemli bir konuşmada bildiğin şeyi düşündüğün şeyden açıkça ayırarak ifade et.,communication
2032-06-06,En Kolay Başlangıcı Hazırla,Başlama sürtünmesi küçük hazırlıklarla düşebilir.,Yarın yapacağın önemli iş için gereken ilk dosyayı aracı veya malzemeyi şimdiden hazır bırak.,productivity
2032-06-07,Kendine Boş Bir Saat Bırak,Her boşluk doldurulmak zorunda değildir.,Bu hafta içinde bir saati hiçbir görev eklemeden boş bırak ve o zamanı ihtiyaç oluşursa kullan.,balance
2032-06-08,Bir Risk İçin Erken Uyarı Belirle,Riskler ortaya çıkmadan önce küçük sinyaller verebilir.,Devam eden bir iş için sorun büyümeden fark edebileceğin tek ölçüyü veya işareti yaz.,risk
2032-06-09,Kurtarma Kodlarını Kontrol Et,Hesap güvenliği erişimi kaybetmemeyi de içerir.,İki aşamalı doğrulama kullandığın önemli bir hesapta kurtarma yönteminin erişilebilir ve güncel olduğunu doğrula.,security
2032-06-10,Bir İşi Bitirme Tanımıyla Başlat,Bitmiş sayılma koşulu bilinmeyen işler uzayabilir.,Bugün başlayacağın bir iş için tamamlandığında hangi somut sonucun bulunacağını tek cümleyle yaz.,planning
2032-06-11,Bir Kaynağın Tarihini Kontrol Et,Doğru bilgi eskiyse yine yanıltıcı olabilir.,Bugün kullandığın önemli bir bilginin yayın veya güncelleme tarihini kaynak üzerinden kontrol et.,accuracy
2032-06-12,Birine Ne İstediğini Sor,Yardımın biçimi ihtiyaçla eşleştiğinde daha değerlidir.,Destek olmak istediğin bir kişiye tahmin yürütmek yerine şu anda neyin işine yarayacağını sor.,relationships
2032-06-13,Günün İlk Bildirimini Geciktir,Güne dış taleplerle başlamak odağı dağıtabilir.,Mümkünse sabah ilk kısa çalışma bölümünü bildirimleri açmadan tamamla.,focus
2032-06-14,Alışkanlığı Ortama Bağla,Davranışlar yalnız iradeye bırakılmadığında daha kolay hatırlanabilir.,Sürdürmek istediğin bir alışkanlığı her gün gördüğün belirli bir nesne veya yerle eşleştir.,habits
2032-06-15,Aylık Sabitleri Yeniden Say,Rutin ödemeler zamanla görünmez hale gelebilir.,Bu ayki sabit gider listesini aç ve artık gerekli olmayan veya tutarı değişen bir kalem var mı kontrol et.,finance
2032-06-16,Bir Talebin Son Tarihini Netleştir,Aciliyet kelimesi tek başına planlama için yeterli değildir.,Bugün senden istenen önemli bir işte gerçek teslim tarihini ve beklenen çıktıyı açıkça doğrula.,communication
2032-06-17,Hatanın Öncesindeki Adımı İncele,Sonuç kadar ona götüren süreç de bilgi verir.,Yakın zamanda yaptığın bir hatada hemen önce hangi kararın veya eksikliğin etkili olduğunu not et.,learning
2032-06-18,Küçük Bir Aboneliği Sorgula,Düşük tutarlar uzun süre tekrarlandığında büyüyebilir.,Otomatik yenilenen bir hizmeti aç ve son üç ayda gerçekten kullanıp kullanmadığını kontrol et.,finance
2032-06-19,Aradığını Bulma Süresini Azalt,Düzenin değeri erişim hızında görünür.,Sık aradığın üç dosyayı daha açık isimlendir veya tek bir mantıklı klasörde topla.,organization
2032-06-20,Karar Öncesi Kırmızı Çizgiyi Yaz,Ölçütler sonuçtan önce belirlendiğinde daha tutarlı kullanılabilir.,Önemli bir karar için kabul etmeyeceğin tek koşulu karar vermeden önce yaz.,decision
2032-06-21,Bir Teşekkürü Somutlaştır,Genel övgüden çok belirli katkı hatırlanabilir.,Bugün birine teşekkür ederken tam olarak hangi davranışının işini kolaylaştırdığını söyle.,relationships
2032-06-22,Eski Cihaz Erişimlerini Temizle,Kullanılmayan cihazlar hesaplarda gereksiz erişim bırakabilir.,Önemli bir hesabın bağlı cihazlar listesini kontrol et ve artık kullanmadığın erişimleri kaldır.,security
2032-06-23,Bir Projeye Ara Kontrol Koy,Uzun işler yalnız finalde kontrol edilirse hatalar geç fark edilebilir.,Devam eden bir proje için finalden önce yapılacak tek ara doğrulama noktası belirle.,quality
2032-06-24,Bir Sayının Paydasını Bul,Tek başına oran bağlamı gizleyebilir.,Bugün karşılaştığın önemli bir oran veya yüzde için toplam kaç örnek üzerinden hesaplandığını bul.,accuracy
2032-06-25,Paylaşılan İşte Beklentiyi Yaz,Sözlü anlaşmalar farklı hatırlanabilir.,Ortak yürüttüğün bir işte kimin neyi ne zamana kadar yapacağını kısa bir yazılı notla netleştir.,collaboration
2032-06-26,Bir Harcama İçin Üst Sınır Koy,Önceden belirlenen sınırlar anlık karar yükünü azaltabilir.,Bu hafta değişken harcamalarından biri için makul bir üst sınır belirle ve kalanını görünür tut.,finance
2032-06-27,Bir Ekranı İlk Kez Görüyormuş Gibi İncele,Alışkanlık arayüzdeki belirsizlikleri görünmez yapabilir.,Sık kullandığın bir ekranı ilk kez açan biri gibi incele ve anlaşılmayan tek noktayı not et.,quality
2032-06-28,Eski Bir Notu Güncelle,Tarihsiz veya eski notlar yanlış güven verebilir.,Kararlarında kullandığın bir notun hâlâ geçerli olup olmadığını kontrol et ve gerekiyorsa tarih ekle.,organization
