date,locale,title,teaser,full_text,theme_tag
2035-08-01,en,Verify the August Shard Boundary Exactly,Monthly content must stay inside its own civil-date range.,Compile the August shard and verify it contains only the exact dates from August 1 through August 31 2035.,content
2035-08-02,en,Fail Explicitly When UT1 Data Is Missing,Missing Earth-orientation data must not become an invisible approximation.,Run a fixture without an IERS record and verify the calculation layer returns a clear missing-data result instead of guessing.,astronomy
2035-08-03,en,Lock House Cusps to Canonical Order,Normalized house starts must retain their intended sequence.,Generate all twelve cusps for a natal fixture and verify canonical ordering plus degree normalization stay identical across runs.,astrology
2035-08-04,en,Do Not Show Stale Results During Loading,A new calculation must not display values from the previously selected profile.,Switch profiles and start recalculation then verify the loading state hides prior chart values until the new result is ready.,ui
2035-08-05,en,Build Restore Preview Counts Before Mutation,Users should know insert update and conflict impact before choosing merge or replace.,Open a backup in preview mode and verify impact counts are calculated before any persistent write occurs.,backup
2035-08-06,en,Recheck Integrity After Restore Rollback,A failed restore must leave the original data state intact.,Inject an error during restore and verify post-rollback table hashes and manifest summary match the starting state.,backup
2035-08-07,en,Restrict PDF Font Fallback to Licensed Assets,Missing glyphs must not silently select an unknown system font.,Generate a report with Turkish text and astrology symbols and verify every used font has license and hash provenance in the manifest.,pdf
2035-08-08,en,Keep Domain Enum IDs Independent of Locale,Display language must never alter persisted domain identities.,Open the same record in Turkish and English and verify enum plus feature IDs remain byte-for-byte stable.,localization
2035-08-09,en,Cap Repeated Rewarded Unlocks,Repeated ads must not accumulate temporary access without limit.,Complete a second rewarded flow while an unlock is active and verify duration remains within the contracted cap policy.,entitlement
2035-08-10,en,Reject Path Traversal Inside Backups,Archive entries must never write outside the application sandbox.,Create a malicious zip entry containing parent-directory traversal and verify security validation rejects it before extraction.,security
2035-08-11,en,Resolve UUID Import Collisions Deterministically,Matching identifiers must not trigger silent overwrites.,Import a fixture sharing a UUID with an existing profile and verify merge handling returns the same stable conflict outcome every time.,data
2035-08-12,en,Require Meaningful Semantics for Icon Controls,Visual meaning alone is insufficient for screen-reader users.,Pass an unlabeled icon control through semantics validation and verify accessibility cannot pass without a descriptive label.,accessibility
2035-08-13,en,Keep Cards Usable at Large Text Scale,Accessibility text scaling must not push essential actions out of reach.,Render primary screens at the highest supported text scale and verify controls remain visible unclipped and operable.,accessibility
2035-08-14,en,Persist Stable Geographic IDs for Locations,A city label alone must not be the stored identity of a selected place.,Choose one of two same-name cities and verify persistence uses the stable provider ID with coordinates rather than only the label.,location
2035-08-15,en,Expose Both Offsets During a DST Fold,Repeated local clock times must not be accepted without identifying the intended instant.,Submit an ambiguous fall-back time and verify both valid offset choices are presented explicitly.,timezone
2035-08-16,en,Block Ephemeris Providers on Checksum Failure,Modified astronomy data must never initialize as a trusted source.,Flip one bit in bundled ephemeris bytes and verify startup integrity checks prevent provider initialization.,astronomy
2035-08-17,en,Lock Applying and Separating Aspect Direction,Aspect phase must not invert because relative motion signs are interpreted inconsistently.,Calculate known planetary fixtures and verify applying versus separating states match the relative-motion golden baseline.,astrology
2035-08-18,en,Apply Master-Number Rules Consistently,Preservation of 11 22 and 33 must not differ between calculation entry points.,Run one numerology fixture through summary and detail flows and verify identical master-number handling.,numerology
2035-08-19,en,Normalize Five-Element Totals Deterministically,BaZi element weights must not drift because of display rounding.,Calculate a known pillar fixture and verify normalized totals plus displayed percentages remain deterministic.,bazi
2035-08-20,en,Reject Release Assets Without Provenance,A file is not release-ready merely because it exists in the repository.,Remove provenance metadata from one manifested asset and verify the release validator blocks the package for missing evidence.,assets
2035-08-21,en,Resolve Offline PRO Ownership from Persisted Proof,Network loss must not revoke previously verified lifetime access.,Enable airplane mode after verified ownership and confirm offline entitlement remains correct from the signed persisted proof.,offline
2035-08-22,en,Stop Writes When Database Integrity Fails,New mutations must not continue on top of a corrupted local store.,Launch with a failing integrity fixture and verify writes remain blocked until a supported repair or safe error path completes.,data
2035-08-23,en,Measure Search Latency Against a Defined Budget,Catalog search should not degrade without detection as data grows.,Run repeated queries over a production-scale bundled catalog and verify p95 latency stays within the documented performance budget.,performance
2035-08-24,en,Redact Birth Data from Logs,Diagnostic output must not expose sensitive profile fields in plaintext.,Trigger an error fixture containing birth date and coordinates and verify logs retain only approved redacted fields.,privacy
2035-08-25,en,Match PDF Preview Sections to Final Bytes,Every section selected in preview must appear in the generated report.,Choose several report sections and verify preview planning plus final PDF section lists match by stable section ID.,pdf
2035-08-26,en,Lock CSV BOM and Encoding Behavior,Text decoding must not depend on platform defaults.,Import canonical UTF-8 fixtures with and without BOM and verify both produce the same normalized records.,data
2035-08-27,en,Handle Notification Permission Denial Safely,Permission refusal must not create an endless prompt loop.,Deny notification permission and verify settings show a clear disabled state with an appropriate retry path.,notifications
2035-08-28,en,Test Persisted Schema Compatibility After Upgrade,An application update must not make existing user data inaccessible.,Open prior-release fixture data in the new build and verify profiles calculations and notes survive migration.,lifecycle
2035-08-29,en,Scan August for Historical Exact Duplicates,Fresh editorial copy must not repeat text from earlier English shards verbatim.,Compare August English title teaser and full-text fields against all prior English shards and reject any exact collision.,content
2035-08-30,en,Review English as Its Own August Editorial Track,English content must not depend on Turkish rows or cross-locale fallback.,Audit the August English shard under independent quality rules and verify every record is complete on its own.,content
2035-08-31,en,Close August Coverage from Committed Shards,Progress must be based only on contiguous content reloaded from main.,Reload both August shards from main verify thirty one canonical dates per locale and record September 1 2035 as the next exact start.,reflection
