date,locale,title,teaser,full_text,theme_tag
2035-06-01,en,Reject Invalid Month End Dates,Calendar parsing must not normalize an impossible June date into July.,Feed dates beyond June 30 2035 into the canonical parser and verify it returns an explicit validation failure instead of overflow normalization.,calendar
2035-06-02,en,Fail Closed When UT1 Is Unavailable,Astronomy output must not invent missing Earth orientation data.,Run a fixture without a usable UT1 offset and verify the calculation layer surfaces missing provenance as an error.,astronomy
2035-06-03,en,Normalize House Cusp Ordering,Zodiac wraparound must not scramble the twelve house boundaries.,Use a cusp fixture that crosses zero degrees and verify all twelve cusps remain ordered and unique.,astrology
2035-06-04,en,Carry Unknown Birth Time Through the Chart,Time-sensitive results must not appear certain when birth time is missing.,Generate a chart for an unknown-time profile and verify affected fields use the contracted uncertainty state.,astrology
2035-06-05,en,Reject Unexpected Files Inside Backups,Restore packages must contain only manifest-declared content.,Add an extra file not listed in the backup manifest and verify integrity checks reject the package.,backup
2035-06-06,en,Check Free Disk Space Before Restore,Low storage must not leave a partial transaction behind.,Provide storage below the required temporary-space threshold and verify restore stops before mutation begins.,backup
2035-06-07,en,Recalculate PDF Page Numbers After Section Filtering,Hidden sections must not leave gaps in pagination.,Generate a report with selected sections disabled and verify footer page numbers match the actual rendered page count.,pdf
2035-06-08,en,Resolve Localized Feature Names from Stable IDs,Changing language must never change entitlement identity.,Resolve the same feature ID in Turkish and English and verify access decisions remain locale independent.,localization
2035-06-09,en,Bound Rewarded Ad Retry Loops,Repeated load failures must not trap the user in an endless spinner.,Simulate consecutive rewarded-load failures and verify backoff plus a recoverable user state appears.,entitlement
2035-06-10,en,Guard PRO Routes Reached by Deep Link,Direct navigation must not bypass paid access rules.,Open a PRO deep link while in Free state and verify routing passes through the entitlement guard and safe paywall flow.,security
2035-06-11,en,Keep Biometric Cancellation Locked,Cancelling authentication must never be interpreted as success.,Cancel the biometric prompt and verify the protected profile remains inaccessible.,security
2035-06-12,en,Align Semantics Labels with Visible Actions,Assistive technology should hear the same meaning the screen shows.,Compare visible titles and semantics labels on primary action cards and verify their meanings match.,accessibility
2035-06-13,en,Prevent Layout Breakage at Two Hundred Percent Text Scale,Large text must not hide critical actions.,Render core forms at 200 percent text scale and verify no essential button clips or overflows horizontally.,accessibility
2035-06-14,en,Persist Stable Location IDs from Search,Displayed city names are not reliable database keys.,Choose between two same-name city fixtures and verify persistence stores the unique location ID rather than display text.,location
2035-06-15,en,Canonicalize Timezone Aliases,Legacy zone aliases should not change results across builds.,Normalize supported timezone aliases to canonical IANA zones and compare their resolved offsets.,timezone
2035-06-16,en,Verify Ephemeris Checksums at Startup,Corrupted astronomy data must never be consumed silently.,Change one byte in an ephemeris fixture and verify the provider reports a checksum failure before calculations run.,astronomy
2035-06-17,en,Keep Aspect Grid Symmetric While Treating the Diagonal Separately,Mirrored matrix cells must not disagree.,Compare upper and lower aspect-grid triangles for one chart and verify self-cells follow the dedicated diagonal policy.,astrology
2035-06-18,en,Centralize Master Number Reduction Rules,Handling of 11 22 and 33 must not vary by screen.,Calculate identical inputs through multiple numerology entry points and verify master-number policy produces the same core values.,numerology
2035-06-19,en,Compute the BaZi Hour Pillar After Timezone Resolution,Local birth time must not be treated as raw UTC.,Use a birth fixture near a timezone boundary and verify the hour pillar is derived from canonical local civil time.,bazi
2035-06-20,en,Block Builds with Unproven Tarot Assets,Unlicensed or untracked artwork must not enter release packages.,Add a tarot asset fixture without provenance metadata and verify asset-manifest validation fails the build.,assets
2035-06-21,en,Support the First Launch Offline,Network absence must not disable features backed entirely by bundled data.,Start a clean install in airplane mode and verify supported local routes remain usable.,offline
2035-06-22,en,Make Database Migrations Idempotent,Re-running an upgrade must not duplicate or mutate valid data.,Trigger the same schema migration path twice and verify row counts plus stable IDs remain unchanged.,data
2035-06-23,en,Roll Search Cache Back with Failed Transactions,A rollback must not leave newly indexed records visible.,Inject an error before commit and verify both table state and search-cache snapshot return to the prior version.,data
2035-06-24,en,Allowlist Consultation Export Fields,New model properties must not leak into exports automatically.,Use a fixture containing an extra domain field and verify export writes only columns explicitly approved by policy.,privacy
2035-06-25,en,Exercise PDF Font Fallback with Turkish Glyphs,Unicode text must not render as missing-glyph boxes.,Generate a report containing Turkish-specific letters and verify embedded font coverage includes every required glyph.,pdf
2035-06-26,en,Neutralize Spreadsheet Formula Injection,User text must not execute when CSV is opened in a spreadsheet.,Export values beginning with equals plus minus and at-sign characters and verify the configured safe escaping policy.,security
2035-06-27,en,Stay Quiet After Notification Permission Is Denied,A rejected permission must not cause repeated prompts on every resume.,Deny notification access and verify later app-resume events do not force another prompt.,notifications
2035-06-28,en,Refresh Entitlements After Resume,Long background periods must not leave stale access decisions.,Background the app with PRO access then change expiry and verify resume recomputes the entitlement state.,lifecycle
2035-06-29,en,Scan June Against Historical Exact Duplicates,Fresh editorial copy must not repeat earlier locale content verbatim.,Compare June fields against all prior shards within each locale and reject the batch on any exact collision.,content
2035-06-30,en,Close June Coverage from Main,Local draft files are not reviewed coverage.,Reload both June shards from main verify thirty canonical dates per locale and record July 1 2035 as the next exact start.,reflection
