"date","locale","title","teaser","full_text","theme_tag"
"2029-11-01","en","Start November With an Order of Importance","When several goals matter, their sequence protects limited capacity.","Rank the three outcomes that matter most this month. Write the condition that would allow the second or third to move ahead of the first.","monthly_planning"
"2029-11-02","en","Look for an Approval That Adds No Protection","Extra approval steps can create delay without reducing meaningful risk.","Inspect one repeated process today. Separate approvals that genuinely control risk from those that exist mainly because they always have.","process"
"2029-11-03","en","Separate Facts, Interpretation, and Request","Conflict grows when observation and opinion are presented as if they were the same thing.","In one important message today, state what you know, how you interpret it, and what action you want in three distinct sentences.","communication"
"2029-11-04","en","Name the Opportunity Cost of Saying Yes","Accepting one commitment usually takes capacity from another.","Before agreeing to one new task today, identify which current priority would receive less time because of it. Include that tradeoff in the decision.","decision_making"
"2029-11-05","en","Keep the First Focus Hour From Becoming Reactive","Beginning the day with every incoming request can erase your own priorities.","If possible, reserve your first concentrated hour for one chosen piece of work before opening the door to low-stakes messages and small requests.","focus"
"2029-11-06","en","Estimate the Full Cost of Ownership","Purchase price is only one part of what an item may cost over time.","For one product you are considering, add expected maintenance, replacement, energy, accessory, and attention costs. Compare options using the longer view.","finance"
"2029-11-07","en","Find a Pattern That Repeated This Week","Repeated conditions often teach more than a single unusually good or bad event.","Identify one success or problem that appeared at least twice in the last seven days. Write the condition the instances had in common.","reflection"
"2029-11-08","en","Make the Finish Line of a Task Visible","Work can expand indefinitely when no deliverable defines its end.","For one active task, describe the exact thing that will be handed over or completed. Treat additional polishing beyond that point as a separate decision.","execution"
"2029-11-09","en","Check the Scope of a Claim","Evidence from one group or period may not support a conclusion about everyone or every time.","For one study or statistic you use today, check the population, country, period, and conditions it actually covers. Keep your conclusion within that scope.","evidence"
"2029-11-10","en","Separate the Need From the Preferred Method","People can disagree on method while still wanting compatible outcomes.","In one conflict today, write each side's underlying need without naming the proposed solution. Look for another method that could satisfy both.","relationships"
"2029-11-11","en","Make a Good Habit Easier Through the Environment","A routine does not have to depend entirely on remembering at the right moment.","Place one tool or cue for a habit where it is visible and easy to reach today. Remove one unnecessary step between the cue and the action.","habits"
