"date","locale","title","teaser","full_text","theme_tag"
"2029-12-01","en","Define What Finished Means This Month","A clear finish line prevents year-end effort from scattering.","Choose one result you want completed by the end of December. Write the observable condition that would let you call it finished without debate.","monthly_planning"
"2029-12-02","en","Close an Open Decision Loop","Decisions left open indefinitely keep consuming attention.","Pick one decision you have postponed. Set a reasonable deadline for gathering information and name the two or three criteria you will use when that deadline arrives.","decision_making"
"2029-12-03","en","Remove One Friction Point From a Routine","Tiny obstacles can make repeated actions harder than they need to be.","Notice one small obstacle that slows a routine you perform often. Spend a few minutes changing the setup so the next repetition is easier.","habits"
"2029-12-04","en","State the Assumption Behind Your Question","Unspoken assumptions often create disagreement before the real issue is visible.","In one important conversation today, say what you are currently assuming and ask whether the other person is working from the same premise.","communication"
"2029-12-05","en","Protect Your Highest-Attention Window","Not every task deserves the time when your mind is at its best.","Identify the part of today when your attention is usually strongest. Reserve that window for the task that needs the most judgment rather than the most urgency.","focus"
"2029-12-06","en","Estimate Cost Per Real Use","Value depends on frequency of use as much as purchase price.","For something you may buy, estimate how many times you would realistically use it in the next three months. Compare the price with that usage instead of looking at the sticker alone.","finance"
"2029-12-07","en","Extract One Lesson From the Week","A single useful pattern is often more actionable than a long review.","Look back over the last seven days and identify one behavior that repeatedly helped or hindered you. Choose one adjustment for the coming week.","reflection"
"2029-12-08","en","Describe Only the First Ten Minutes","A vague beginning can make a manageable task feel enormous.","Take one task you have delayed and write only what you would do during the first ten minutes. Start there without solving the whole project in advance.","execution"
"2029-12-09","en","Set a Boundary Before It Is Tested","Boundaries are easier to communicate before pressure rises.","Think about an upcoming commitment that could exceed your capacity. State the limit early, calmly and specifically rather than waiting for frustration to make the message harsher.","boundaries"
"2029-12-10","en","Shrink a List Until Priorities Reappear","An overfilled list can hide the few things that actually matter.","Review the lower half of your task list. Remove, defer or deliberately drop anything that will not materially change the outcome you care about.","prioritization"
"2029-12-11","en","Attach a Source to a Useful Note","Information without provenance becomes harder to trust later.","Take one note you expect to reuse and add where it came from, when you captured it and why it matters. Make the note understandable without relying on memory.","knowledge"
"2029-12-12","en","Convert a Goal Into a Controllable Action","Goals become practical when they point to behavior you can perform today.","Choose one goal and translate it into a single action you can complete today. Focus on what you control rather than the final outcome.","goals"
"2029-12-13","en","Name the Required Meeting Outcome","Meetings drift when nobody can describe what should be different afterward.","Before one meeting or conversation, write the decision, information or ownership that should be clear by the end. Use that sentence to keep the discussion on course.","meetings"
"2029-12-14","en","Rename the Problem Twice","The label you give a problem can narrow the solutions you notice.","Describe one difficult situation in two different ways. Compare which description creates more realistic options for action.","problem_solving"
"2029-12-15","en","Schedule Recovery Before the Calendar Fills","Rest rarely survives if it is treated as leftover time.","Place a short recovery period somewhere in the next three days. Protect it as intentionally as you would protect a useful appointment.","recovery"
"2029-12-16","en","Find the Repeatable Part of a Good Result","Success becomes more useful when you can identify what helped create it.","Choose something that went well recently. Write two behaviors or conditions you could deliberately reproduce next time.","learning"
"2029-12-17","en","Rename Files for Future Retrieval","Small search delays accumulate when names carry too little meaning.","Open one frequently used folder and rename a few unclear files so date, topic and version are obvious without opening them.","organization"
"2029-12-18","en","Check Capacity Before Saying Yes","A quick yes can create a slower and more expensive problem later.","When a new request arrives today, check your existing commitments before answering. Notice what would be compressed, delayed or displaced if you accept it.","capacity"
"2029-12-19","en","Choose the Risk That Matters Most","Treating every risk as equal spreads attention too thin.","For one important outcome, identify the single risk with the strongest combination of likelihood and impact. Choose one preventive action you can take now.","risk"
"2029-12-20","en","Create a Default for a Repeated Choice","Low-stakes repeated decisions can quietly drain attention.","Pick one choice you make often and define a sensible default. Write down the few conditions that should override it.","systems"
"2029-12-21","en","Make a Firm Message Less Abrasive","Clarity does not require unnecessary sharpness.","Review one important message before sending it. Keep the request, reason and boundary clear while removing blame, ambiguity or avoidable heat.","communication"
"2029-12-22","en","Replace a Vague Standard With a Measure","Words like good, fast and consistent mean different things to different people.","Choose one vague expectation you are using today and turn it into an observable standard that another person could recognize too.","clarity"
"2029-12-23","en","Make a Plan for One Small Financial Loose End","Minor unpaid or unresolved items can create disproportionate mental noise.","Choose one small debt, overdue payment or unfinished financial task. Record the amount, deadline and next action in one place.","finance"
"2029-12-24","en","Separate Useful Feedback From the Sting","The first emotional reaction can hide information worth keeping.","Revisit one piece of feedback you received. Set aside the part you disagree with and extract only what is specific, testable and potentially useful.","feedback"
"2029-12-25","en","Deliberately End One Commitment","Not every unfinished goal deserves to cross into another year.","Choose one project, habit or obligation that no longer creates enough value. Write why you are ending it and what evidence would justify restarting it later.","closure"
"2029-12-26","en","Track One Improvement With One Number","A light measurement can reveal progress that memory misses.","Pick one area you want to improve and choose a single number you can track for a week. Keep the measure simple enough that tracking does not become the task itself.","measurement"
"2029-12-27","en","Make a Request Easy to Answer","Broad requests for help leave the other person guessing what support means.","Turn one request into a specific task with a clear time frame and expected result. Make it easy for the other person to give a genuine yes or no.","collaboration"
"2029-12-28","en","Question Why You Are Keeping One Unused Item","Unused possessions can occupy attention as well as space.","Choose one item you have not used for a long time. Decide whether you are keeping it because of a current need, habit, uncertainty or sentiment.","decluttering"
"2029-12-29","en","Leave Deliberate Slack in the Final Days","Year-end plans are vulnerable to last-minute requests and delays.","Review the final days of your calendar and avoid filling every available hour. Leave some capacity for the unexpected instead of planning at one hundred percent.","planning"
"2029-12-30","en","Apply One Thing You Learned This Year","Learning changes results only when it enters behavior.","Choose one lesson from this year and define one action that would put it into practice during the next seven days.","integration"
"2029-12-31","en","Review the Year With Evidence","Recent and intense events can distort what the year actually contained.","Use calendars, notes, completed work and records as evidence for your review. Compare achievements and misses across the whole year rather than judging it by the final few weeks.","year_review"
