"date","locale","title","teaser","full_text","theme_tag"
"2027-10-01","en","Choose One Protection Rule for October","A new month can be used to set boundaries as well as add goals.","Choose one rule that will protect your time, energy, or budget throughout October. Make it concrete by defining when it applies and what it is meant to prevent.","monthly_focus"
"2027-10-02","en","Measure Waiting Time in One Process","Delay often comes from waiting rather than from the work itself.","Choose one process today and separate active work time from time spent waiting for approval, information, or response. Look for improvement where the longest delay actually occurs.","process_improvement"
"2027-10-03","en","Estimate the Full Cost of a Commitment","Every new commitment carries work that may not appear on the calendar at first.","Before saying yes to a new responsibility, include preparation, follow-up, communication, and switching costs. Judge the total load rather than only the visible task.","decision_quality"
"2027-10-04","en","Record Context With One Daily Metric","A number without the conditions around it can be misleading.","When recording one metric today, note the important condition that may have influenced it. Future comparisons will be stronger when the context is preserved with the result.","record_keeping"
"2027-10-05","en","Make Ownership of One Problem Explicit","A shared problem can remain unsolved when responsibility is spread too widely.","For one open issue today, identify who owns the next decision or action. Make the person and expected result visible instead of assuming everyone understands the ownership.","accountability"
"2027-10-06","en","Replace One Assumption With Current Evidence","An idea that was once correct may no longer describe the present situation.","Choose one assumption that affects your work and check it against current evidence. If the evidence has changed, update the plan instead of defending the old assumption.","critical_thinking"
"2027-10-07","en","Define What Done Means for One Task","Work can expand indefinitely when completion has no clear boundary.","Set three observable conditions that will make one task complete today. Once those conditions are met, resist adding extra detail unless it serves a real requirement.","productivity"
"2027-10-08","en","Use Observation Instead of Mind Reading","Assuming another person's intention can make a difficult conversation harder than necessary.","In one challenging conversation today, separate what you observed from what you think it means. State the effect and your need without claiming to know the other person's motive.","communication"
"2027-10-09","en","Turn One Repetition Into a Template","Repeated work creates avoidable errors when it is rebuilt from scratch each time.","Choose something you have done several times recently. Convert the stable steps into a short template, checklist, or reusable starting point.","process_improvement"
"2027-10-10","en","Notice the Opportunity Cost of One Purchase","Money spent in one direction removes another option at the same time.","For one planned expense today, identify what else the same budget could support. Compare the two choices rather than judging the price in isolation.","financial_awareness"
"2027-10-11","en","Store Important Information With a Date","Accurate information can become outdated without becoming obviously wrong.","When saving one important number, procedure, or reference today, include the date it was published or last verified. Reduce the chance of using old information as if it were current.","information_quality"
"2027-10-12","en","Look for a Process Cause Before a Personal Cause","Slow progress is not always a sign of poor effort or attention.","When examining one delayed task today, first check dependencies, approvals, tools, and missing information. Understand the system before assigning a personal explanation.","collaboration"
"2027-10-13","en","Set a Reopen Condition for a Decision","Making a decision is different from repeatedly making the same decision.","For one settled choice today, define what new information would justify reopening it. Until that condition appears, stop spending attention on the same question.","decision_making"
"2027-10-14","en","Match a Task to Your Energy Level","Not every kind of work fits every hour equally well.","Move one high-focus task into the part of the day when your attention is strongest and place a routine task in a lower-energy period. Plan for capacity, not only availability.","energy_management"
"2027-10-15","en","Test the Boundary You Set at the Start of the Month","A rule is useful only if it changes real behavior.","Review the protection rule you chose at the start of October. If you have broken it, ask whether the rule itself is weak or whether the environment makes it difficult to follow.","midmonth_review"
"2027-10-16","en","Find a Leading Indicator for One Goal","By the time the final result appears, it may be too late to adjust.","Choose one signal that changes before an important outcome does. It could be weekly behavior, demand, preparation time, or another early measure you can monitor.","measurement"
"2027-10-17","en","Put Delegated Authority in Writing","Verbal agreements can be remembered differently over time.","When a delegation or decision boundary matters today, leave a short written summary. State who owns the work, what they may decide, and when they should return for approval.","delegation"
"2027-10-18","en","Identify the Single Source of Truth for One File","Multiple copies increase the risk of editing the wrong version.","Choose one important shared file and make the authoritative location explicit. Old copies may remain, but no one should have to guess which version is current.","data_safety"
"2027-10-19","en","Open an Objection With a Question","Understanding the concern first can save time and reduce defensiveness.","When someone objects today, ask what matters most about their concern before responding. Build your answer around the actual issue rather than the one you expected.","communication"
"2027-10-20","en","Define a Stop Threshold for One Plan","No plan deserves unlimited time or cost simply because work has already begun.","Choose one active plan and define the cost, time, or result threshold that would trigger a review. Protect yourself from endless commitment rather than from the discomfort of changing course.","risk_management"
"2027-10-21","en","Understand a Check Before Automating It","Automation can spread a flawed process faster.","Before automating one control, make sure the manual rule is correct and repeatable. Do not transfer uncertainty into a tool and call it efficiency.","quality_control"
